end_period_ts,open_interest,volume,price.close,price.close_dollars,price.high,price.high_dollars,price.low,price.low_dollars,price.max,price.max_dollars,price.mean,price.mean_dollars,price.min,price.min_dollars,price.open,price.open_dollars,price.previous,price.previous_dollars,yes_ask.close,yes_ask.close_dollars,yes_ask.high,yes_ask.high_dollars,yes_ask.low,yes_ask.low_dollars,yes_ask.open,yes_ask.open_dollars,yes_bid.close,yes_bid.close_dollars,yes_bid.high,yes_bid.high_dollars,yes_bid.low,yes_bid.low_dollars,yes_bid.open,yes_bid.open_dollars,market
1761624000,5598,14601749,39.0,0.3900,40.0,0.4000,37.0,0.3700,,,38.0,0.3841,,,40.0,0.4000,41.0,0.4100,39,0.3900,41,0.4100,39,0.3900,41,0.4100,38,0.3800,40,0.4000,36,0.3600,40,0.4000,KXNFLGAME-25NOV02SEAWAS-WAS
1761710400,34678,14601749,38.0,0.3800,39.0,0.3900,36.0,0.3600,,,37.0,0.3711,,,39.0,0.3900,39.0,0.3900,38,0.3800,39,0.3900,37,0.3700,39,0.3900,37,0.3700,38,0.3800,35,0.3500,38,0.3800,KXNFLGAME-25NOV02SEAWAS-WAS
1761796800,39322,14601749,39.0,0.3900,39.0,0.3900,37.0,0.3700,,,38.0,0.3865,,,37.0,0.3700,38.0,0.3800,39,0.3900,39,0.3900,38,0.3800,38,0.3800,38,0.3800,38,0.3800,37,0.3700,37,0.3700,KXNFLGAME-25NOV02SEAWAS-WAS
1761883200,68736,14601749,39.0,0.3900,39.0,0.3900,38.0,0.3800,,,38.0,0.3810,,,39.0,0.3900,39.0,0.3900,39,0.3900,39,0.3900,39,0.3900,39,0.3900,38,0.3800,38,0.3800,38,0.3800,38,0.3800,KXNFLGAME-25NOV02SEAWAS-WAS
1761969600,75361,14601749,40.0,0.4000,40.0,0.4000,38.0,0.3800,,,39.0,0.3953,,,39.0,0.3900,39.0,0.3900,40,0.4000,40,0.4000,39,0.3900,39,0.3900,39,0.3900,39,0.3900,38,0.3800,38,0.3800,KXNFLGAME-25NOV02SEAWAS-WAS
1762056000,87769,14601749,40.0,0.4000,40.0,0.4000,39.0,0.3900,,,39.0,0.3993,,,40.0,0.4000,40.0,0.4000,40,0.4000,41,0.4100,40,0.4000,40,0.4000,39,0.3900,39,0.3900,39,0.3900,39,0.3900,KXNFLGAME-25NOV02SEAWAS-WAS
1762142400,8537401,14601749,,,,,,,,,,,,,,,1.0,0.0100,100,1.0000,100,1.0000,1,0.0100,1,0.0100,0,0.0000,0,0.0000,0,0.0000,0,0.0000,KXNFLGAME-25NOV02SEAWAS-WAS
1761624000,41278,11960493,64.0,0.6400,64.0,0.6400,61.0,0.6100,,,63.0,0.6326,,,63.0,0.6300,62.0,0.6200,64,0.6400,64,0.6400,61,0.6100,63,0.6300,62,0.6200,63,0.6300,60,0.6000,60,0.6000,KXNFLGAME-25NOV02SEAWAS-SEA
1761710400,62738,11960493,63.0,0.6300,65.0,0.6500,62.0,0.6200,,,64.0,0.6424,,,62.0,0.6200,64.0,0.6400,63,0.6300,66,0.6600,63,0.6300,64,0.6400,62,0.6200,64,0.6400,62,0.6200,62,0.6200,KXNFLGAME-25NOV02SEAWAS-SEA
1761796800,109902,11960493,62.0,0.6200,63.0,0.6300,60.0,0.6000,,,62.0,0.6260,,,63.0,0.6300,63.0,0.6300,62,0.6200,63,0.6300,61,0.6100,63,0.6300,61,0.6100,62,0.6200,60,0.6000,62,0.6200,KXNFLGAME-25NOV02SEAWAS-SEA
