end_period_ts,open_interest,volume,price.close,price.high,price.low,price.max,price.mean,price.min,price.open,price.previous,price.previous_dollars,yes_ask.close,yes_ask.close_dollars,yes_ask.high,yes_ask.high_dollars,yes_ask.low,yes_ask.low_dollars,yes_ask.open,yes_ask.open_dollars,yes_bid.close,yes_bid.close_dollars,yes_bid.high,yes_bid.high_dollars,yes_bid.low,yes_bid.low_dollars,yes_bid.open,yes_bid.open_dollars,price.close_dollars,price.high_dollars,price.low_dollars,price.mean_dollars,price.open_dollars,market
1763946000,1053,3981821,,,,,,,,21.0,0.2100,17,0.1700,34,0.3400,17,0.1700,18,0.1800,14,0.1400,15,0.1500,13,0.1300,15,0.1500,,,,,,KXNFLGAME-25NOV30LVLAC-LV
1763949600,1053,3981821,,,,,,,,21.0,0.2100,18,0.1800,19,0.1900,17,0.1700,17,0.1700,16,0.1600,16,0.1600,14,0.1400,14,0.1400,,,,,,KXNFLGAME-25NOV30LVLAC-LV
1763953200,1060,3981821,17.0,17.0,17.0,,17.0,,17.0,21.0,0.2100,19,0.1900,19,0.1900,18,0.1800,18,0.1800,17,0.1700,17,0.1700,16,0.1600,16,0.1600,0.1700,0.1700,0.1700,0.1700,0.1700,KXNFLGAME-25NOV30LVLAC-LV
1763956800,1113,3981821,19.0,19.0,19.0,,19.0,,19.0,17.0,0.1700,19,0.1900,19,0.1900,19,0.1900,19,0.1900,17,0.1700,17,0.1700,17,0.1700,17,0.1700,0.1900,0.1900,0.1900,0.1900,0.1900,KXNFLGAME-25NOV30LVLAC-LV
1763960400,1137,3981821,19.0,19.0,19.0,,19.0,,19.0,19.0,0.1900,19,0.1900,19,0.1900,19,0.1900,19,0.1900,16,0.1600,17,0.1700,16,0.1600,17,0.1700,0.1900,0.1900,0.1900,0.1900,0.1900,KXNFLGAME-25NOV30LVLAC-LV
1763964000,1137,3981821,,,,,,,,19.0,0.1900,19,0.1900,19,0.1900,19,0.1900,19,0.1900,17,0.1700,17,0.1700,16,0.1600,16,0.1600,,,,,,KXNFLGAME-25NOV30LVLAC-LV
1763967600,1141,3981821,19.0,19.0,19.0,,19.0,,19.0,19.0,0.1900,19,0.1900,19,0.1900,19,0.1900,19,0.1900,17,0.1700,17,0.1700,17,0.1700,17,0.1700,0.1900,0.1900,0.1900,0.1900,0.1900,KXNFLGAME-25NOV30LVLAC-LV
1763971200,1141,3981821,,,,,,,,19.0,0.1900,19,0.1900,19,0.1900,19,0.1900,19,0.1900,17,0.1700,17,0.1700,17,0.1700,17,0.1700,,,,,,KXNFLGAME-25NOV30LVLAC-LV
1763974800,1141,3981821,,,,,,,,19.0,0.1900,19,0.1900,19,0.1900,18,0.1800,19,0.1900,17,0.1700,17,0.1700,16,0.1600,17,0.1700,,,,,,KXNFLGAME-25NOV30LVLAC-LV
1763978400,1141,3981821,,,,,,,,19.0,0.1900,19,0.1900,19,0.1900,19,0.1900,19,0.1900,17,0.1700,17,0.1700,17,0.1700,17,0.1700,,,,,,KXNFLGAME-25NOV30LVLAC-LV
1763982000,1151,3981821,19.0,19.0,19.0,,19.0,,19.0,19.0,0.1900,19,0.1900,19,0.1900,19,0.1900,19,0.1900,17,0.1700,17,0.1700,17,0.1700,17,0.1700,0.1900,0.1900,0.1900,0.1900,0.1900,KXNFLGAME-25NOV30LVLAC-LV
1763985600,1151,3981821,,,,,,,,19.0,0.1900,19,0.1900,19,0.1900,19,0.1900,19,0.1900,16,0.1600,17,0.1700,16,0.1600,17,0.1700,,,,,,KXNFLGAME-25NOV30LVLAC-LV
1763989200,1174,3981821,20.0,20.0,20.0,,20.0,,20.0,19.0,0.1900,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,16,0.1600,16,0.1600,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1763992800,1182,3981821,19.0,20.0,19.0,,19.0,,20.0,20.0,0.2000,19,0.1900,20,0.2000,19,0.1900,20,0.2000,18,0.1800,19,0.1900,17,0.1700,19,0.1900,0.1900,0.2000,0.1900,0.1925,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1763996400,1256,3981821,19.0,19.0,19.0,,19.0,,19.0,19.0,0.1900,19,0.1900,19,0.1900,19,0.1900,19,0.1900,17,0.1700,18,0.1800,17,0.1700,18,0.1800,0.1900,0.1900,0.1900,0.1900,0.1900,KXNFLGAME-25NOV30LVLAC-LV
